_id,X,Y,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kg
1,-5.004.242.161.044.750,10.412.637.491.627.200,18,Lampung,1804,Lampung Barat,133109.56
2,-5.279.411.585.963.540,10.460.159.346.891.400,18,Lampung,1806,Tanggamus,270333.41
3,-5.426.437.194.355.160,10.544.241.567.404.800,18,Lampung,1801,Lampung Selatan,1645960.21
4,-51.313.853.924.820.100,1.055.899.065.468.980,18,Lampung,1807,Lampung Timur,1861113.66
5,-4.769.921.925.353.690,10.531.688.956.014.400,18,Lampung,1802,Lampung Tengah,8896800.94
6,-4.752.259.398.956.000,10.476.339.185.008.600,18,Lampung,1803,Lampung Utara,478952.4
7,-4.380.197.891.710.480,10.451.943.993.036.300,18,Lampung,1808,Way Kanan,1862323.75
8,-43.115.604.055.116.200,10.546.049.090.951.900,18,Lampung,1805,Tulang Bawang,494925.54
9,-5.450.576.418.726.900,10.507.807.318.450.800,18,Lampung,1809,Pesawaran,292599.01
10,-5.292.207.590.453.950,10.491.030.090.223.600,18,Lampung,1810,Pringsewu,725568.11
11,-3.965.151.739.124.410,10.535.639.247.767.900,18,Lampung,1811,Mesuji,173284.44
12,-4.312.310.981.463.660,1.051.018.825.099.890,18,Lampung,1812,Tulang Bawang Barat,431759.01
13,-5.266.712.386.590.350,10.410.285.785.459.700,18,Lampung,1813,Pesisir Barat,133109.56
14,-5.390.976.230.732.380,10.524.858.853.793.900,18,Lampung,1871,Bandar Lampung,1308103.94
15,-5.114.073.465.718.250,10.531.152.981.716.700,18,Lampung,1872,Metro,367382.38
